sample,tumor_bam,normal_bam
EIW25_01,/mnt/d/Exoma_run2/EIW25_01_T12/EIW25_01_T12.recal.bam,/mnt/d/Exoma_run2/EIW25_01_N11/EIW25_01_N11.recal.bam
S711,/mnt/d/Exoma_run2/711_T02/711_T02.recal.bam,/mnt/d/Exoma_run2/711_N01/711_N01.recal.bam
